City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Marsh Harbour,BS,26.04,broken clouds,26.5412,-77.0636,Abaco Beach Resort
10,Canton,CN,28.97,light rain,23.1167,113.25,Guangzhou Hotel
14,Hithadhoo,MV,28.62,few clouds,-0.6,73.0833,Scoop Guest House
16,Oussouye,SN,25.1,overcast clouds,12.485,-16.5469,Auberge du Routard
18,Phuket,TH,29.49,few clouds,8.0,98.25,The Surin Phuket
20,Kashan,IR,28.51,clear sky,33.9831,51.4364,Manouchehri Traditional House
21,Tiarei,PF,28.89,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
25,Hirara,JP,26.15,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
35,Avarua,CK,26.03,few clouds,-21.2078,-159.775,Paradise Inn
61,Touros,BR,25.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
68,Dennery,LC,29.07,broken clouds,13.8996,-60.8879,The Fox Grove Inn
72,Lompoc,US,28.9,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
76,Soyo,AO,25.27,broken clouds,-6.1349,12.3689,Hotel Mpampa
82,Abonnema,NG,25.6,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
83,Kavieng,PG,27.97,moderate rain,-2.5744,150.7967,Nusa Island Retreat
84,Oistins,BB,27.05,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
85,Kapaa,US,29.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
87,Tucurui,BR,27.19,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
93,Phan Thiet,VN,26.53,few clouds,10.9333,108.1,Hotel Saigon-PT
107,Manokwari,ID,27.65,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
122,Ishigaki,JP,26.07,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
123,Kralendijk,BQ,28.99,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
