City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lata,PT,40.1629,-8.3327,19.4,85,7,0.97,clear sky
1,Sunndalsora,NO,62.6754,8.5515,10.03,80,82,0.08,broken clouds
2,Bluff,NZ,-46.6,168.3333,9.89,90,100,9.78,overcast clouds
3,Vaini,TO,-21.2,-175.2,21.09,94,90,3.09,moderate rain
4,Marsh Harbour,BS,26.5412,-77.0636,26.04,77,66,5.5,broken clouds
5,Chernyshevskiy,RU,63.0128,112.4714,14.45,53,60,1.99,broken clouds
6,Albany,US,42.6001,-73.9662,8.98,93,100,2.5,moderate rain
7,Miri,MY,4.4148,114.0089,24.08,100,20,1.53,few clouds
8,Bredasdorp,ZA,-34.5322,20.0403,7.62,93,83,1.56,broken clouds
9,Busselton,AU,-33.65,115.3333,11.16,67,92,5.95,overcast clouds
10,Canton,CN,23.1167,113.25,28.97,79,100,1.62,light rain
11,Kodinsk,RU,58.6881,99.1844,5.05,91,97,0.22,overcast clouds
12,Carnarvon,AU,-24.8667,113.6333,12.04,100,47,3.09,scattered clouds
13,Talnakh,RU,69.4865,88.3972,2.36,98,100,6.57,moderate rain
14,Hithadhoo,MV,-0.6,73.0833,28.62,72,15,8.34,few clouds
15,Mar Del Plata,AR,-38.0023,-57.5575,10.63,56,0,1.34,clear sky
16,Oussouye,SN,12.485,-16.5469,25.1,77,100,4.33,overcast clouds
17,Hofn,IS,64.2539,-15.2082,7.86,99,100,6.93,overcast clouds
18,Phuket,TH,8.0,98.25,29.49,93,20,3.37,few clouds
19,Lebu,CL,-37.6167,-73.65,12.28,93,100,4.27,overcast clouds
20,Kashan,IR,33.9831,51.4364,28.51,12,0,1.03,clear sky
21,Tiarei,PF,-17.5333,-149.3333,28.89,74,93,7.34,overcast clouds
22,Shubarshi,KZ,48.5872,57.1869,20.72,57,2,1.71,clear sky
23,Envira,BR,-7.3,-70.2167,24.22,90,39,1.26,scattered clouds
24,Mahebourg,MU,-20.4081,57.7,22.36,88,40,2.57,scattered clouds
25,Hirara,JP,24.8,125.2833,26.15,100,75,2.57,broken clouds
26,Barrow,US,71.2906,-156.7887,1.01,75,90,7.2,overcast clouds
27,Yerkoy,TR,39.6381,34.4672,15.48,65,4,1.93,clear sky
28,Jamestown,US,42.097,-79.2353,15.77,51,90,4.12,overcast clouds
29,Ponta Do Sol,PT,32.6667,-17.1,18.4,57,20,2.53,few clouds
30,Mayskiy,RU,47.6931,40.1025,18.02,91,33,2.99,scattered clouds
31,Ketchikan,US,55.3422,-131.6461,13.26,88,90,4.63,moderate rain
32,Punta Arenas,CL,-53.15,-70.9167,1.06,75,75,3.21,broken clouds
33,Kutoarjo,ID,-7.7169,109.9128,23.98,91,83,1.12,broken clouds
34,Meulaboh,ID,4.1363,96.1285,24.05,89,87,2.38,overcast clouds
35,Avarua,CK,-21.2078,-159.775,26.03,57,20,3.6,few clouds
36,Bambous Virieux,MU,-20.3428,57.7575,22.34,88,40,3.7,scattered clouds
37,Kiruna,SE,67.8557,20.2251,3.51,87,75,1.54,broken clouds
38,Illapel,CL,-31.6308,-71.1653,17.54,59,60,0.87,broken clouds
39,Cape Town,ZA,-33.9258,18.4232,13.4,95,0,2.23,clear sky
40,Norman Wells,CA,65.282,-126.8329,11.02,54,75,8.23,broken clouds
41,Powell River,CA,49.8496,-124.5361,17.83,77,75,1.03,broken clouds
42,Lipari,IT,38.4674,14.954,19.31,72,2,0.76,clear sky
43,Bengkulu,ID,-3.8004,102.2655,23.43,89,68,1.46,broken clouds
44,Newport,GB,51.5877,-2.9984,14.06,80,99,3.27,overcast clouds
45,Mataura,NZ,-46.1927,168.8643,9.71,98,100,1.55,light rain
46,Royan,FR,45.6285,-1.0281,18.02,81,20,4.07,few clouds
47,Santa Cruz,BO,-17.8,-63.1667,19.7,68,90,6.69,overcast clouds
48,El Alto,PE,-4.2714,-81.2147,20.12,81,39,7.25,scattered clouds
49,Lavrentiya,RU,65.5833,-171.0,3.19,75,17,5.73,few clouds
50,Tripoli,LY,32.8752,13.1875,21.45,69,15,3.91,few clouds
51,Marawi,PH,7.9986,124.2928,19.8,94,100,1.27,overcast clouds
52,Chokurdakh,RU,70.6333,147.9167,17.31,28,14,5.62,few clouds
53,Port Alfred,ZA,-33.5906,26.891,14.01,67,97,5.39,overcast clouds
54,Hobart,AU,-42.8794,147.3294,5.06,90,20,1.93,few clouds
55,Leningradskiy,RU,69.3833,178.4167,3.58,87,57,1.45,broken clouds
56,Rikitea,PF,-23.1203,-134.9692,24.0,68,94,5.39,overcast clouds
57,Hilo,US,19.7297,-155.09,31.27,72,40,8.23,scattered clouds
58,Lagoa,PT,39.05,-27.9833,17.13,86,81,4.07,broken clouds
59,Ushuaia,AR,-54.8,-68.3,-2.19,100,75,2.57,light snow
60,Vincennes,FR,48.85,2.4333,17.16,56,0,2.61,clear sky
61,Touros,BR,-5.1989,-35.4608,25.5,86,63,4.33,broken clouds
62,East London,ZA,-33.0153,27.9116,13.78,64,85,3.92,overcast clouds
63,Upernavik,GL,72.7868,-56.1549,-0.17,93,100,2.21,overcast clouds
64,Ulaangom,MN,49.9811,92.0667,8.49,47,25,1.9,scattered clouds
65,Saint-Philippe,RE,-21.3585,55.7679,21.79,81,31,2.64,scattered clouds
66,Juneau,US,58.3019,-134.4197,11.0,94,90,1.79,light rain
67,Airai,TL,-8.9266,125.4092,16.02,79,100,0.83,overcast clouds
